Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1521,32,1200.0,1264.5245651874623,31.73706610687077,4704.79064877145,8288.86456278764,25.803881515060183,0.5428824513359145,1200,1600,1900,2000,2400,3000,3600,4000,4600,4700,4700
,Aggregated,1521,32,1200.0,1264.5245651874623,31.73706610687077,4704.79064877145,8288.86456278764,25.803881515060183,0.5428824513359145,1200,1600,1900,2000,2400,3000,3600,4000,4600,4700,4700
