Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,538,0,910.0,889.155953189057,178.25083690695465,1795.5087868031114,8467.0,9.106940771485005,0.0,910,1000,1100,1100,1300,1400,1500,1600,1800,1800,1800
,Aggregated,538,0,910.0,889.155953189057,178.25083690695465,1795.5087868031114,8467.0,9.106940771485005,0.0,910,1000,1100,1100,1300,1400,1500,1600,1800,1800,1800
