Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1132,0,550.0,523.5646278652948,33.80536590702832,3984.3028569594026,8467.0,19.159124224212082,0.0,550,600,640,660,740,830,1000,1500,3900,4000,4000
,Aggregated,1132,0,550.0,523.5646278652948,33.80536590702832,3984.3028569594026,8467.0,19.159124224212082,0.0,550,600,640,660,740,830,1000,1500,3900,4000,4000
